date,reference_number,lme_price_usd_mt,premium_usd_mt,transaction_cost_usd_mt,exchange_rate_inr_usd,multiplying_factor,freight_handling_inr_kg,base_price_inr_kg,valid_from,valid_to
2025-05-02,SW/09/05/2025-26,9352.33,180,10,85.38,1.101,4.25,901.26,2025-05-01,2025-05-04
2025-05-05,SW10/05/2025-26,9285.5,180,10,84.45,1.101,4.25,885.28,2025-05-05,2025-05-07
2025-05-08,SW/11/05/2025-26,9493,180,10,84.84,1.101,4.25,908.73,2025-05-08,2025-05-11
2025-05-12,SW/12/05/2025-26,9449.25,180,10,85.93,1.101,4.25,916.21,2025-05-12,2025-05-14
2025-05-15,SW/13/05/2025-26,9591.17,180,10,85.78,1.101,4.25,928.02,2025-05-15,2025-05-18
2025-05-22,SW/15/05/2025-26,9535.83,180,10,85.98,1.101,4.25,924.94,2025-05-22,2025-05-25
2025-05-26,SW/16/05/2025-26,9544,180,10,86.03,1.101,4.25,926.25,2025-05-26,2025-05-28
2025-05-29,SW/17/05/2025-26,9667.5,180,10,85.77,1.101,4.25,935.12,2025-05-29,2025-06-01
2025-06-02,SW/18/06/2025-26,9632.25,180,10,85.85,1.101,4.25,932.66,2025-06-02,2025-06-04
2025-06-12,SW/21/05/2025-26,9811,180,10,86.02,1.106,4.65,956.13,2025-06-12,2025-06-15
2025-06-16,SW/22/06/2025-26,9718.5,180,10,86.25,1.106,4.65,949.85,2025-06-16,2025-06-18
2025-01-30,SW/088/01/2024-25,8940.83,180,10,86.93,1.096,4.25,874.19,2025-01-30,2025-02-02
2025-01-27,SW087/01/2024-25,9137,180,10,86.78,1.096,4.25,891.35,2025-01-27,2025-01-29
2025-01-23,SW/086/01/2024-25,9077.83,180,10,86.97,1.096,4.25,887.65,2025-01-23,2025-01-26
2025-01-20,SW085/12/2024-25,9133.5,180,10,86.95,1.096,4.25,892.75,2025-01-20,2025-01-22
2025-01-16,SW/084/01/2024-25,9005.33,180,10,86.9,1.096,4.25,880.04,2025-01-16,2025-01-19
2025-01-13,SW083/12/2024-25,8978,180,10,86.35,1.096,4.25,871.91,2025-01-13,2025-01-15
2025-01-09,SW082/01/2024-25,8875.5,180,10,86.24,1.096,4.25,861.11,2025-01-09,2025-01-12
2025-01-06,SW081/12/2024-25,8693.25,180,10,86.19,1.096,4.25,843.4,2025-01-06,2025-01-08
2025-01-02,SW080/01/2024-25,8769.5,180,10,86.02,1.096,4.25,848.93,2025-01-02,2025-01-05
2025-06-19,SW/23/05/2025-26,9799.83,180,10,86.57,1.106,4.65,961.14,2025-06-19,2025-06-22
2025-06-23,SW/24/06/2025-26,9828.5,180,10,87.13,1.106,4.65,970.09,2025-06-23,2025-06-25
2025-06-26,SW/25/06/2025-26,9925.17,180,10,86.75,1.106,4.65,975.16,2025-06-26,2025-06-29
2025-07-07,SW/28/07/2025-26,10045.25,180,10,85.8,1.106,4.65,975.92,2025-07-07,2025-07-09
2025-07-03,SW/27/07/2025-26,10048.67,180,10,86.02,1.106,4.65,978.74,2025-07-03,2025-07-06
2025-06-30,SW/26/06/2025-26,10083,180,10,86.05,1.106,4.65,982.34,2025-06-30,2025-07-02
